meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.38768115639686584	0.8030776381492615	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	0.8333333134651184	57	1	1	1	0	0.25	0.25	0	1003	0	0	0
0	0.38768115639686584	0.3107717037200928	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	0.1666666716337204	59	1	1	0	0	0	0.25	0.4000000059604645	1003	1	0	0
0	0.38768115639686584	0.40923288464546204	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	1	72	1	1	1	0	0.75	0.5	0.800000011920929	1003	0	1	0
1	0.38768115639686584	0.9015387892723083	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	1	53	0	1	0	0	0	0.5	0.800000011920929	1003	0	0	0
1	0.38768115639686584	0.40923288464546204	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	0.3333333432674408	50	0	1	0	0	0.75	0.75	0.800000011920929	1003	0	0	0
0	0.38768115639686584	0.7046164274215698	0.3185126781463623	0.1150943785905838	0.7599999904632568	0.017521465197205544	0.6666666865348816	67	1	1	0	0	1	0.75	0.800000011920929	1003	0	0	1
1	0.5108695030212402	0.606155276298523	0.14160439372062683	0.5435192584991455	0.550000011920929	0.0029749381355941296	0.3333333432674408	54	0	0	0	0	0	0.75	1	1005	1	0	0
0	0.30434781312942505	0.3107717037200928	0.2805844843387604	0.009782087057828903	0.8100000023841858	0.005748746916651726	0	50	1	1	0	0	0.25	0.25	0	1009	1	0	0
1	0.30434781312942505	0.40554308891296387	0.2805844843387604	0.009782087057828903	0.8100000023841858	0.005748746916651726	0.3333333432674408	77	0	1	1	0	1	0.75	0.800000011920929	1009	0	0	1
0	0.44927531480789185	0.8030776381492615	0.20472806692123413	0.22821563482284546	0.6600000262260437	0.011488806456327438	0.8333333134651184	36	0	1	1	0	0.75	0.5	0.800000011920929	1015	0	1	0
0	0.44927531480789185	0.40923288464546204	0.20472806692123413	0.22821563482284546	0.6600000262260437	0.011488806456327438	0.6666666865348816	38	1	1	1	0	0.75	0.5	0.800000011920929	1015	0	0	0
0	0.44927531480789185	0.42370834946632385	0.20472806692123413	0.22821563482284546	0.6600000262260437	0.011488806456327438	0	66	1	1	1	0	0.5	0.5	0.800000011920929	1015	0	1	0
0	0.44927531480789185	0.7046164274215698	0.20472806692123413	0.22821563482284546	0.6600000262260437	0.011488806456327438	1	64	0	1	1	0	0.25	0.5	0.4000000059604645	1015	0	0	1
1	0.3188405930995941	0.7046164274215698	0.14048123359680176	0.43826714158058167	0.5799999833106995	0.0034901280887424946	0.3333333432674408	44	1	0	0	0	0	0.5	0.6000000238418579	1017	0	0	0
1	0.3188405930995941	0.6150303483009338	0.14048123359680176	0.43826714158058167	0.5799999833106995	0.0034901280887424946	1	75	0	0	1	0	0	0.5	1	1017	0	0	0
1	0.3188405930995941	0.2123105227947235	0.14048123359680176	0.43826714158058167	0.5799999833106995	0.0034901280887424946	0.1666666716337204	54	0	0	1	0	0	1	1	1017	0	0	1
1	0.3260868787765503	0.2123105227947235	0.22479373216629028	0.06603127717971802	0.6499999761581421	0.0024398192763328552	0.3333333432674408	40	0	0	1	0	0.75	0.25	0.6000000238418579	1019	0	0	1
0	0.3260868787765503	0.9015387892723083	0.22479373216629028	0.06603127717971802	0.6499999761581421	0.0024398192763328552	0.6666666865348816	52	1	1	0	0	1	1	0.800000011920929	1019	0	0	0
0	0.3840579092502594	0.5076940655708313	0.12229470163583755	0.5114653706550598	0.5400000214576721	0.0013975842157378793	0.3333333432674408	68	0	1	1	0	1	0.75	1	1023	0	0	1
1	0.6811594367027283	0.40923288464546204	0.08267095685005188	0.4891354441642761	0.5899999737739563	0.0026453433092683554	0.3333333432674408	60	0	0	1	0	0	1	0.800000011920929	1025	0	0	1
0	0.6811594367027283	0.2123105227947235	0.08267095685005188	0.4891354441642761	0.5899999737739563	0.0026453433092683554	0.3333333432674408	34	0	0	0	0	1	0.5	0.4000000059604645	1025	1	0	0
1	0.2282608449459076	0.2123105227947235	0.19684435427188873	0.1688467413187027	0.699999988079071	0.00135057233273983	0.1666666716337204	53	0	0	1	0	0.25	0	0	1027	0	0	1
0	0.2282608449459076	0.40923288464546204	0.19684435427188873	0.1688467413187027	0.699999988079071	0.00135057233273983	0.6666666865348816	46	0	1	0	0	0.5	0.75	0.4000000059604645	1027	1	0	0
0	0.4275362491607666	0.7046164274215698	0.243509441614151	0.2114478349685669	0.7400000095367432	0.004726543091237545	0.6666666865348816	37	1	1	0	0	0.75	0.5	0.4000000059604645	1031	0	0	0
0	0.3804347515106201	0.6599003672599792	0.21535487473011017	0.1873939484357834	0.550000011920929	0.005517979618161917	0.8333333134651184	75	1	1	1	0	0	0.5	0.800000011920929	1033	0	0	1
0	0.42391300201416016	0.21205709874629974	0.1530303657054901	0.38206690549850464	0.5799999833106995	0.0010447900276631117	0.1666666716337204	81	0	0	1	0	0.25	0.25	0.20000000298023224	1037	0	0	1
0	0.4347825348377228	0.606155276298523	0.20485766232013702	0.014234663918614388	0.7599999904632568	0.008183762431144714	0.3333333432674408	58	1	1	0	1	0.5	0.5	0.800000011920929	1043	0	1	0
0	0.351449191570282	0.8030776381492615	0.24623094499111176	0.2363988161087036	0.75	0.00487279100343585	1	67	1	1	1	1	0.75	0.75	0.800000011920929	1045	0	1	0
0	0.351449191570282	0.7113906145095825	0.24623094499111176	0.2363988161087036	0.75	0.00487279100343585	0.8333333134651184	46	0	1	0	0	1	0.75	1	1045	1	0	0
